protein_id	go_term	qualifier	evidence_code	source_db
Q21997	GO:0036498	involved_in	HEP	UniProtKB
P63027	GO:0015031	involved_in	IMP	UniProtKB
O43182	GO:0072686	located_in	IDA	UniProtKB
Q9H0R8	GO:0036064	located_in	IDA	UniProtKB
Q9H0R8	GO:0043231	located_in	IDA	UniProtKB
Q9H0R8	GO:0005886	located_in	IDA	UniProtKB
Q9H0R8	GO:0005929	located_in	IDA	UniProtKB
Q6P2H3	GO:0043231	located_in	IDA	UniProtKB
Q9Y462	GO:0008270	enables	IDA	UniProtKB
Q96QP1	GO:0036064	located_in	IDA	UniProtKB
Q96DN5	GO:0005794	located_in	IDA	UniProtKB
Q9BXF6	GO:0036064	located_in	IDA	UniProtKB
Q9BXF6	GO:0005886	located_in	IDA	UniProtKB
Q9BXF6	GO:0005929	located_in	IDA	UniProtKB
Q9BXF6	GO:0016607	located_in	IDA	UniProtKB
Q8WV44	GO:0043231	located_in	IDA	UniProtKB
Q8WV44	GO:0001650	located_in	IDA	UniProtKB
Q8WV44	GO:0005654	located_in	IDA	UniProtKB
Q8WV44	GO:0005829	located_in	IDA	UniProtKB
P39735	GO:0000403	enables	IDA	UniProtKB
P39735	GO:0000405	enables	IDA	UniProtKB
Q8N4C6	GO:0036064	located_in	IDA	UniProtKB
Q07821	GO:0044572	involved_in	IMP	UniProtKB
Q9Z0R4	GO:0006897	acts_upstream_of_or_within	IMP	UniProtKB
Q9Z0R4	GO:0007267	acts_upstream_of_or_within	IMP	UniProtKB
P04797	GO:0045471	involved_in	IEP	UniProtKB
O00716	GO:0043231	located_in	IDA	UniProtKB
O00716	GO:0005829	located_in	IDA	UniProtKB
Q60596	GO:0000012	involved_in	IMP	UniProtKB
P41216	GO:0005741	located_in	TAS	UniProtKB
Q9Y230	GO:0036064	located_in	IDA	UniProtKB
Q01804	GO:0140374	involved_in	IDA	UniProtKB
P68366	GO:0005929	located_in	IDA	UniProtKB
Q9NZQ3	GO:0005654	located_in	IDA	UniProtKB
Q9NZQ3	GO:0005886	located_in	IDA	UniProtKB
O14003	GO:1902983	involved_in	IDA	UniProtKB
