protein_id	go_term	qualifier	evidence_code	source_db
Q5W0B1	GO:0005654	located_in	TAS	UniProtKB
P31809	GO:0032703	acts_upstream_of_or_within	IMP	UniProtKB
P31809	GO:0046329	acts_upstream_of_or_within	IMP	UniProtKB
Q9BXF6	GO:0097227	located_in	IDA	UniProtKB
Q9BXF6	GO:0097228	located_in	IDA	UniProtKB
Q9BXF6	GO:0097229	located_in	IDA	UniProtKB
Q9BXF6	GO:0001669	located_in	IDA	UniProtKB
Q8K1M6	GO:0005737	located_in	IDA	UniProtKB
P43297	GO:0009414	acts_upstream_of_or_within	TAS	UniProtKB
Q12467	GO:0005759	is_active_in	IDA	UniProtKB
Q12467	GO:0045182	enables	IMP	UniProtKB
Q12467	GO:0006446	involved_in	IMP	UniProtKB
Q80WJ1	GO:0005730	located_in	IDA	UniProtKB
P97305	GO:0051145	acts_upstream_of_or_within	IGI	UniProtKB
P97305	GO:0055001	acts_upstream_of_or_within	IGI	UniProtKB
Q8BVZ1	GO:0010467	acts_upstream_of_or_within	IDA	UniProtKB
Q8BVZ1	GO:0141124	acts_upstream_of_or_within	IDA	UniProtKB
Q8BVZ1	GO:0141124	acts_upstream_of_or_within	IGI	UniProtKB
Q8BVZ1	GO:0001775	acts_upstream_of_or_within	IGI	UniProtKB
Q8BVZ1	GO:0140042	acts_upstream_of_or_within	IGI	UniProtKB
Q9Z0M1	GO:0070166	acts_upstream_of_or_within	IGI	UniProtKB
Q9Z0M1	GO:0070166	acts_upstream_of_or_within	IMP	UniProtKB
P14737	GO:0090734	is_active_in	IDA	UniProtKB
Q9U1M8	GO:0000146	enables	IDA	UniProtKB
Q9U1M8	GO:0051592	acts_upstream_of_or_within	IDA	UniProtKB
P03966	GO:0010467	acts_upstream_of_or_within	IMP	UniProtKB
P03966	GO:0008284	acts_upstream_of_or_within	IMP	UniProtKB
A0A0P0XXR9	GO:0045492	involved_in	IDA	UniProtKB
Q8T4E1	GO:0016255	involved_in	IMP	UniProtKB
O74198	GO:0071466	involved_in	IMP	UniProtKB
Q7LGC8	GO:0001517	enables	TAS	UniProtKB
Q7LGC8	GO:0018146	involved_in	TAS	UniProtKB
Q9Y468	GO:0160267	enables	IDA	UniProtKB
Q9Y468	GO:0160268	enables	IDA	UniProtKB
Q8TES7	GO:0035869	located_in	IDA	UniProtKB
Q9ET47	GO:0061831	is_active_in	IDA	UniProtKB
Q1HG44	GO:0072659	involved_in	IDA	UniProtKB
Q00310	GO:0035269	involved_in	IMP	UniProtKB
Q8IA42	GO:0016266	involved_in	IDA	UniProtKB
Q8IA42	GO:0016266	involved_in	IMP	UniProtKB
P39196	GO:0140329	involved_in	IDA	UniProtKB
P39196	GO:0019899	enables	IPI	UniProtKB
O54851	GO:0001508	acts_upstream_of_or_within	IMP	UniProtKB
P40337	GO:0097542	located_in	IDA	UniProtKB
P37238	GO:0160274	involved_in	IDA	UniProtKB
P19526	GO:0009101	involved_in	TAS	UniProtKB
O80339	GO:0045892	acts_upstream_of_or_within	IDA	UniProtKB
O80339	GO:0006355	acts_upstream_of_or_within	IDA	UniProtKB
O80339	GO:0005634	located_in	IC	UniProtKB
O80339	GO:0003677	enables	TAS	UniProtKB
O80339	GO:0003700	enables	TAS	UniProtKB
Q8LAM0	GO:0004843	enables	IDA	UniProtKB
Q8LAM0	GO:0005634	located_in	IDA	UniProtKB
Q8NCN5	GO:0140176	involved_in	IMP	UniProtKB
Q8MV48	GO:0016266	involved_in	IDA	UniProtKB
O95461	GO:0035022	involved_in	IC	UniProtKB
O95461	GO:0010656	involved_in	IC	UniProtKB
O95461	GO:1904395	involved_in	IC	UniProtKB
O95461	GO:0051897	involved_in	IC	UniProtKB
Q9HC35	GO:0097227	located_in	IDA	UniProtKB
Q9HC35	GO:0097228	located_in	IDA	UniProtKB
Q9HC35	GO:0033011	located_in	IDA	UniProtKB
Q9HC35	GO:0120238	located_in	IDA	UniProtKB
Q09XV5	GO:0010468	acts_upstream_of_or_within	IMP	UniProtKB
Q09XV5	GO:0007616	acts_upstream_of_or_within	IMP	UniProtKB
P10412	GO:0030527	enables	IDA	UniProtKB
P10412	GO:0030261	involved_in	IDA	UniProtKB
Q9FKL6	GO:0005516	enables	TAS	UniProtKB
O09105	GO:0001764	acts_upstream_of_or_within	IGI	UniProtKB
O09105	GO:0001764	acts_upstream_of_or_within	IMP	UniProtKB
O09105	GO:0010001	acts_upstream_of_or_within	IGI	UniProtKB
P06336	GO:0001812	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0001820	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0002455	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0002553	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0005615	located_in	IDA	UniProtKB
P06336	GO:0003823	enables	IDA	UniProtKB
P06336	GO:0043306	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0042571	part_of	IDA	UniProtKB
P06336	GO:0016064	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0019370	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0032725	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0032752	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0032755	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0032760	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0050778	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0050850	acts_upstream_of_or_within	IDA	UniProtKB
P06336	GO:0045576	acts_upstream_of_or_within	IDA	UniProtKB
Q9FMS4	GO:0005634	located_in	IDA	UniProtKB
Q9FMS4	GO:0005737	located_in	IDA	UniProtKB
Q9FMS4	GO:0005886	located_in	IDA	UniProtKB
P64599	GO:0006744	involved_in	IMP	UniProtKB
O35795	GO:0009203	involved_in	IDA	UniProtKB
O35795	GO:0004050	enables	IDA	UniProtKB
Q96CM4	GO:0005737	located_in	IDA	UniProtKB
Q96CM4	GO:0005739	located_in	IDA	UniProtKB
Q96CM4	GO:0045454	involved_in	IDA	UniProtKB
Q96CM4	GO:0006979	involved_in	IDA	UniProtKB
P07872	GO:0120524	enables	IDA	UniProtKB
O55143	GO:0005509	enables	IDA	UniProtKB
Q8C208	GO:0042802	enables	IPI	UniProtKB
Q9CZX2	GO:0005515	enables	IPI	UniProtKB
P08176	GO:0008234	enables	IDA	UniProtKB
Q9FNI1	GO:0005634	located_in	IDA	UniProtKB
Q9FNI1	GO:0005737	located_in	IDA	UniProtKB
Q9FNI1	GO:0005886	located_in	IDA	UniProtKB
P22071	GO:0006700	involved_in	IMP	UniProtKB
P15735	GO:0005980	involved_in	TAS	UniProtKB
Q05928	GO:0043066	acts_upstream_of_or_within	IDA	UniProtKB
Q3V5L5	GO:0000139	located_in	TAS	UniProtKB
Q3V5L5	GO:0006493	involved_in	IDA	UniProtKB
Q9D8L5	GO:0042802	enables	IPI	UniProtKB
Q9JM54	GO:0043065	acts_upstream_of_or_within	IMP	UniProtKB
O76062	GO:0033490	involved_in	TAS	UniProtKB
Q9DAG5	GO:0005634	located_in	IDA	UniProtKB
Q5AFN8	GO:0071466	involved_in	IMP	UniProtKB
Q8IWW8	GO:0046952	involved_in	IDA	UniProtKB
Q9LVT8	GO:0005737	located_in	IDA	UniProtKB
Q9LVT8	GO:0009414	involved_in	IDA	UniProtKB
Q9LVT8	GO:0003723	enables	IPI	UniProtKB
Q65Z40	GO:0042585	located_in	IDA	UniProtKB
Q65Z40	GO:0000776	located_in	IDA	UniProtKB
Q65Z40	GO:0000785	located_in	IDA	UniProtKB
Q65Z40	GO:0000795	located_in	IDA	UniProtKB
Q65Z40	GO:0005694	located_in	IDA	UniProtKB
Q65Z40	GO:0009636	acts_upstream_of_or_within	IDA	UniProtKB
Q65Z40	GO:0007056	acts_upstream_of_or_within	IDA	UniProtKB
Q65Z40	GO:0007056	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0051445	acts_upstream_of_or_within	IDA	UniProtKB
Q65Z40	GO:0051445	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0045727	acts_upstream_of_or_within	IDA	UniProtKB
Q65Z40	GO:0045727	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0000278	acts_upstream_of_or_within	IGI	UniProtKB
Q65Z40	GO:0000278	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0007129	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0008608	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0140588	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0051307	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0051983	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0048146	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0060623	acts_upstream_of_or_within	IMP	UniProtKB
Q65Z40	GO:0005515	enables	IPI	UniProtKB
Q0D715	GO:0009931	enables	IDA	UniProtKB
P41002	GO:1990756	enables	IDA	UniProtKB
F4INA9	GO:1905951	acts_upstream_of_or_within	IMP	UniProtKB
Q9LM33	GO:0007165	acts_upstream_of_or_within	IC	UniProtKB
Q495W5	GO:0005789	located_in	TAS	UniProtKB
Q495W5	GO:0006493	involved_in	TAS	UniProtKB
Q90YM8	GO:0048675	acts_upstream_of_or_within_positive_effect	IMP	UniProtKB
Q13636	GO:0003925	enables	IMP	UniProtKB
Q90270	GO:0009950	acts_upstream_of_or_within	IMP	UniProtKB
Q90270	GO:0141064	acts_upstream_of_or_within	IMP	UniProtKB
P97474	GO:0003677	enables	IDA	UniProtKB
O70514	GO:0008284	acts_upstream_of_or_within	IGI	UniProtKB
Q84TV3	GO:0045492	involved_in	IDA	UniProtKB
Q86VZ6	GO:0097542	located_in	IDA	UniProtKB
P04786	GO:0005739	is_active_in	IMP	UniProtKB
Q6FRZ8	GO:0071466	involved_in	IMP	UniProtKB
Q9H3S7	GO:0097225	located_in	IDA	UniProtKB
Q9H3S7	GO:0120238	located_in	IDA	UniProtKB
P51807	GO:0044297	located_in	IDA	UniProtKB
A0A7J6KDB0	GO:0005615	located_in	IDA	UniProtKB
A0A7J6KDB0	GO:0044650	involved_in	IDA	UniProtKB
A0A7J6KDB0	GO:0046812	enables	IDA	UniProtKB
P03871	GO:0000228	is_active_in	IDA	UniProtKB
Q6P5E4	GO:0009306	acts_upstream_of_or_within	IMP	UniProtKB
Q8TCX1	GO:0097225	located_in	IDA	UniProtKB
